Year,Home_Price_Index,Per_Capita_GDP,working_age_pop,Un_emp_Rate,Cons_Material_Cost,FEDFUNDS,Urban_Pop,Num_Households,Disposable_Income,Subsidy,old_age_pop
2002,122.27925,50291.166666666664,183792321.61666667,5.783333333333334,144.00833333333333,1.6666666666666667,79.4,1311564,65820.0,24.183000000000003,12.300000000000002
2003,133.73133333333334,51332.083333333336,186938868.1833333,5.991666666666667,147.10833333333332,1.1275,79.6,1335336,65860.0,25.929999999999996,12.300000000000002
2004,150.44025,52809.583333333336,188762153.49166667,5.541666666666667,161.475,1.3491666666666668,79.8,1344000,65760.0,27.201000000000004,12.300000000000002
2005,171.737,54114.916666666664,191023853.5,5.083333333333333,169.55833333333334,3.2133333333333334,79.9,1360116,66780.0,27.651,12.4
2006,183.4475,55021.25,193218375.41666666,4.608333333333333,180.24166666666667,4.964166666666666,80.1,1372608,67520.0,28.604,12.4
2007,179.91891666666666,55579.75,195662871.58333334,4.616666666666666,183.17499999999998,5.019166666666666,80.3,1392132,68610.0,29.512,12.5
2008,164.05741666666665,54915.583333333336,196691316.90833333,5.8,196.4416666666667,1.9275,80.4,1401396,66280.0,29.876,12.699999999999998
2009,148.54508333333334,53251.0,197895463.41666666,9.283333333333333,189.17499999999998,0.16,80.6,1406172,65850.0,32.883,12.9
2010,144.6745,54243.083333333336,199182869.70833334,9.608333333333334,194.5,0.17500000000000002,80.8,1410456,64300.0,32.669,13.0
2011,139.2595,54686.416666666664,199960896.20833334,8.933333333333334,201.125,0.10166666666666667,80.9,1439124,63350.0,34.23,13.300000000000002
2012,140.99391666666665,55465.333333333336,201474254.375,8.075,205.82500000000002,0.14,81.1,1453008,63350.0,33.283,13.6
2013,154.52075,56212.25,202326006.38333333,7.358333333333333,209.275,0.1075,81.3,1469508,65740.0,33.213,13.9
2014,164.69841666666667,57285.75,203018885.74166667,6.158333333333334,214.45000000000002,0.08916666666666667,81.5,1478748,64900.0,33.806,14.1
2015,172.18183333333332,58411.833333333336,204332491.51666665,5.2749999999999995,213.54166666666666,0.1325,81.7,1495044,68410.0,34.859,14.300000000000002
2016,180.92558333333332,59033.583333333336,205553266.99166667,4.875,213.89166666666665,0.395,81.9,1509828,70840.0,37.55,14.699999999999998
2017,191.398,60134.0,205569577.39166665,4.358333333333333,221.64166666666665,1.0016666666666667,82.1,1514688,72090.0,35.771,15.1
2018,202.47775000000001,61483.833333333336,206540349.25,3.891666666666666,235.75,1.8316666666666668,82.3,1531032,73030.0,38.859,15.4
2019,209.46516666666665,62642.5,206311863.41666666,3.6833333333333336,235.725,2.158333333333333,82.5,1542948,78250.0,40.185,15.800000000000002
2020,222.14583333333334,61059.25,205967553.29166666,8.091666666666667,239.18333333333337,0.3758333333333333,82.7,1541412,76660.0,44.147,16.2
2021,260.04925,64584.083333333336,205284998.48333335,5.366666666666667,303.41275,0.08,82.9,1550688,76330.0,45.299,16.7
2022,298.48833333333334,65480.5,207306105.75,3.641666666666667,341.53325,1.6833333333333333,83.1,1574424,74580.0,48.020999999999994,17.1
